"","year","Row","Column","type","blk","gc","rs","depth","mass","Nitrospinota","WS2","Deinococcota","GAL15","SAR324 clade(Marine group B)","Abditibacteriota","Sumerlaeota","NB1-j","Campylobacterota","Entotheonellaeota","RCP2-54","FCPU426","Dependentiae","Bdellovibrionota","WPS-2","Desulfobacterota","Patescibacteria","Methylomirabilota","Armatimonadota","Spirochaetota","Latescibacterota","Fibrobacterota","Elusimicrobiota","Planctomycetota","Gemmatimonadota","MBNT15","Hydrogenedentes","Cyanobacteria","unclassified","Nitrospirota","Myxococcota","Bacteroidota","Acidobacteriota","Firmicutes","Actinobacteriota","Verrucomicrobiota","Chloroflexi","Proteobacteria"
"Sa69",2019,"F",9,"grape","B","GC","MV","66","116.7",0,0,0,0,0,0,0,0,0,3,0,0,10,4,0,30,32,5,95,0,11,0,36,163,9,0,0,0,52,39,452,606,856,198,614,1115,341,4581
"Sa70",2019,"F",10,"grape","B","noGC","MV","0","107.8",0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,3,0,0,2,0,20,0,2,79,11,0,0,6,66,0,155,403,163,209,394,474,14,2436
"Sa71",2019,"F",11,"grape","B","noGC","MV","33","112.5",0,0,0,0,9,4,0,0,0,0,0,0,0,9,0,0,0,0,18,0,0,0,0,36,20,0,0,0,18,0,250,305,286,8,689,632,155,4645
"Sa72",2019,"F",12,"grape","B","noGC","MV","66","105.3",0,0,0,0,0,0,0,0,0,0,0,0,51,18,0,30,41,0,19,45,15,0,0,82,42,0,0,27,37,0,200,268,800,72,863,563,193,5096
"Sa73",2019,"G",1,"grape","C","GC","LV","0","123.5",0,0,0,0,53,0,0,6,0,0,0,0,0,12,0,0,8,12,33,0,8,25,8,168,127,0,0,2,95,0,1090,1716,520,326,4016,1442,839,11305
"Sa74",2019,"G",2,"grape","C","GC","LV","33","100.7",0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,84,0,0,0,3,18,21,0,0,4,38,25,335,282,337,24,633,529,184,3873
"Sa75",2019,"G",3,"grape","C","GC","LV","66","69.8",0,0,0,0,0,0,0,0,0,34,31,65,59,92,0,20,30,2,158,55,38,22,93,63,153,0,0,0,110,60,531,814,1077,95,1091,738,395,10650
"Sa76",2019,"G",4,"grape","C","noGC","MV","0","84.9",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,24,7,7,11,3,12,0,11,50,0,0,0,3,48,73,453,227,203,4,509,299,248,3793
"Sa77",2019,"G",5,"grape","C","noGC","MV","33","77.5",0,0,0,0,0,55,0,0,0,0,0,0,147,127,93,112,276,103,583,0,75,146,587,1010,243,0,0,57,541,267,3486,4844,5124,1481,4431,3029,1260,29691
"Sa78",2019,"G",6,"grape","C","noGC","MV","66","141.2",0,0,0,0,0,0,0,0,0,0,0,20,23,18,2,6,0,0,38,29,0,0,22,78,32,0,0,5,21,0,204,553,553,96,630,729,47,5823
"Sa79",2019,"G",7,"grape","C","GC","MV","0","109.4",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,29,0,0,0,0,0,0,0,75,0,0,0,0,25,21,185,565,260,185,500,338,254,2055
"Sa80",2019,"G",8,"grape","C","GC","MV","33","50.9",0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,27,0,0,8,16,0,0,52,26,0,0,12,31,36,403,129,689,85,199,536,219,3491
"Sa82",2019,"G",10,"grape","C","noGC","LV","0","94",0,0,0,0,0,0,2,3,0,0,0,0,2,10,0,25,7,3,6,0,0,0,2,83,2,0,0,0,38,0,75,42,146,113,827,497,27,3030
"Sa83",2019,"G",11,"grape","C","noGC","LV","33","74.7",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,7,7,6,0,0,0,34,5,23,52,82,19,276,55,12,3594
"Sa84",2019,"G",12,"grape","C","noGC","LV","66","150.5",0,0,0,0,0,0,0,0,0,0,0,6,5,2,0,0,0,2,7,0,0,2,3,14,24,0,0,0,19,33,75,82,17,0,243,93,58,3771
